Time,ChatGPT
1/12/2022,0
1/01/2023,0
1/03/2023,0
1/04/2023,0
1/05/2023,0
1/06/2023,8
1/07/2023,17
1/08/2023,16
1/09/2023,21
1/10/2023,22
1/11/2023,25
1/12/2023,22
1/01/2024,23
1/02/2024,26
1/03/2024,27
1/04/2024,30
1/05/2024,33
1/06/2024,31
1/07/2024,26
1/08/2024,30
1/09/2024,42
1/10/2024,48
1/11/2024,52
1/12/2024,46
1/01/2025,51
1/02/2025,59
1/03/2025,64
1/04/2025,78
1/05/2025,79
1/06/2025,80
1/07/2025,84
1/08/2025,84
1/09/2025,95
1/10/2025,100
1/11/2025,97
1/12/2025,83
1/01/2026,86
1/02/2026,84
1/03/2026,89
1/04/2026,83
